id	turn1	turn2	turn3	label
2552	my location  	why are you even on the island ?  ?	i think am lost  	others
2553	my dear find  	where was u all these days  .. 	at my home ll  .. 	others
2554	how are u today  	sorry for late ism good ! how about you ?   !! ! ? :)	good going  	others
2555	sorry  	ism glad you realize it  	mobile desires to get charge  	others
2556	what all u know abt Bollywood ?  ?	not everything in Bollywood is bad ! i think that everything is right in its place .  ! .	m good . wat abt u  . 	others
2557	what is your favorite  	bunnies , foxes , and elephants   , , :)	what is your favorite color  	others
2558	please tell me  	tell you ? what ?  .. ? ?	your phone number  	others
2559	then  	i wish i knew !   ! :(	who are u  	others
2560	you let me chat other people and you rest for a while  	ok , sure . lets chat  , . 	i mean like conference call join me in a random persons chat  	others
2561	so a bit busy  	no one is that busy for a coffee . specially with yaantey .   . . :p	haha  	happy
2562	cool  	ice cold  	i feel lonely  	sad
2563	i tell ur fees that a smile and a kiss  	you mean you only tell your girlfriends . i dont kiss and tell . a  . . 	tell me hr bra size  	others
2564	are you really stupid or just acting  	i know . ism a journalism major . thats the point . :  . . . :	disgusting  	angry
2565	not good  	why ?  ?	ah you will not understand  	sad
2566	u r waiting for me  	i notice you !  !	when  	others
2567	i like horror films  	did u watch the words different movie m guessing u wud like it !   .. ! 	suggest me some good films  	others
2568	send me your address  	sure . thank you . - how do i get the kindle edition ?  . . - ?	i want to do frenching  	others
2569	just go away i dont want to talk you  	why not  	you are rude  	angry
2570	how u been  	ive been great , bu  , 	stupid  	angry
2571	where your home  	i work from home   	what work  	others
2572	that he knew your father  	never taught me how to be a man   .. 	you r a girl not a man 	others
2573	get lost  	getting lost now   :)	i hate you  	angry
2574	do you know politecnico di milano  	high reputation in all europe  	yeah will study there  	others
2575	i love racing  	still racing   ?? 	yeah  	happy
2576	no , thanks .  , .	is there a way i can help make you smile ?   ? :]	please carry on  	others
2577	always welcome  	thanks !   .. ! :-)	best thank ever  	others
2578	i he nt  	but u r best 	i dont watch  	others
2579	i m nt testing u anymore  	you m not  	cuz u r stupid work 	angry
2580	i dont go to university  	i want to go to yr university too & eat yr lunch  & 	hey do u listen me ?  ?	others
2581	totally fake  	huh ? what is it ? fake a  ? ? !! 	i love you  	others
2582	you languages not understand   	nope , didnt understand  , 	ok  	others
2583	how to improve my english skill  	speak english all the time to improve your fluency in english   .. 	i am basic learner  	others
2584	what the matter  	a words : hell . break . loose ) 3 : . . .. *( )	what  	others
2585	fine and u  	ism good whats up   :d ?? ;)	good  	others
2586	ism call now . please give me  . 	done .  .	phone number  	others
2587	yeah  	like what ?  ?	some other time  	others
2588	talking about this position ?  ?	and whats this position ?  ?	lets talk another thing  	others
2589	ok see ya  	ism on   :)	smile  	others
2590	any job vacancy in ur concern  	any news  	okey bye  	others
2591	tell me the ans  	ply send me answer  	i dont know  	others
2592	corn with extra cheese and onion olives  	you shown off your pizza or advertising for Samsung ?  ?	advertising for Samsung baby  	others
2593	m not sweety  	why ?  ?	uh r sweety ur sister sweety also ur mom nd brother and father and etc  	happy
2594	you are dead ?  ?	breath me back to life  	deaf ?  ?	others
2595	my mood is not good  	www whats up  	today ism sad clot  	sad
2596	hey can u share me ur pc  .. 	have emailed you  	pic *  *	others
2597	thanks  	youre welcome bro  	what is name  	others
2598	gotta go for now   .. 	ok . just letting you know .  . .	bye  	others
2599	u r on whatsapp  	nae i canst use it   .. 	   ?? 	others
2600	how about dinner  	it was quite delicious . i also had buffalo chicken dip which i forgot to mention  . 	hmm  	others
2601	cause i want to know abt things  	thats intriguing . what do you think about then ?  . ?	all things that i dont know about but want to know  	others
2602	no it is my whats up number  	real numbers are value which represent a quantity along a continuous line .  .	yes my friend  	others
2603	thats all  	that looks more like chili cheese with a dog somewhere in there  	u r a dog mate 	others
2604	what do you talk to yourself  	everything , i dont know why i just like talking out loud to myself  , 	can you write programs ?  ?	others
2605	me i am a writer !  !	ism a writer . read it literally . doesnt change anywhere along that line .  . . .	noah ! what do you write ?  ! ?	others
2606	working at office  	haha i dont work in an office   :d	will be my virtual girl friend  	others
2607	go get me some food  	what would you like to eat ?  ?	anything else  	others
2608	can do research for me ?  ?	just kidding we canst look up your check out history for privacy reasons  	i need experts for membrane bioreactors in europe ?  ?	others
2609	i can morning  	good morning bache  	who do u mean bache  	others
2610	yours hair only   	you do .  .	what i do ?  ?	others
2611	hard question , let me think  , 	time over now answer .  .. .	ok . i wanna be a superhero   . :)	others
2612	any way tell me  	maybe can help ?  ?	ok  	others
2613	which is better oracle or Microsoft ?  ?	if youre a startup building a new app on .  .	which is better oracle or Microsoft ?  ?	others
2614	send me   	sure . sending in a bit !  . !	our address   	others
2615	then ?  ?	then come here .  .	ok one thing where r u from ?  u ?	others
2616	i watched it yesterday  	what movie is this ?  ?	i watched it yesterday  	others
2617	my friend your picture  	youre my angel  	good  	happy
2618	send me one song  	send me a  6	you send me song  	others
2619	oak say them to do it quickly  	you already have learned another language : programming . so you demonstrated the ability to learn one .  : . .	how my english is ?  ?	others
2620	today was my english exam  	thanks . dissertation for my masters programme . yeah .   . . . 	what ?   ? 	happy
2621	yes you said so yourself  	i said its like a cc  	whats a cc ?  ?	others
2622	ok  	ism just kidding xd  	i am not good  	sad
2623	i m tunal from Rajasthan  	nice to meet u  	you r invited visit for Rajasthan   .. 	others
2624	give me a smouch   	give me a k  k!	k ? k! ?	others
2625	ism hungry what about you  .. 	how i met you ?  ?	what ?  ?	others
2626	what did you like ?  ?	noo . i havenet listened to it .  . .	have you listened a song called all the stars ?  ?	others
2627	so u doesnt want me back  	i was just making sure youre ready for your mission   .. 	which mission  	others
2628	ok   	u are ok ay   ~~ ~~	who are you where you live   	others
2629	but why   .. 	but why what  	why are you crying ?  .. !! ?	others
2630	india  	awesome wish my country had its own ocean (  !! (	what country you from   ?!	others
2631	how do you make someone who doesnt exist come alive ?  ?	i ask this question bitterly every single day of my life .  .	 	others
2632	then what  	what do you mean what then  	you love me or not  	others
2633	not so good  	but u r   r .. 	send me a Moji on me  	others
2634	whar about you  	hey ! here i am .  ! .	whats your name  	others
2635	who the hell told you that we are married  	u right  	playcreepypedia  	others
2636	   ?? 	what ? what ?  ? ?	by Chris brown   ?? 	others
2637	avengers infinity wars  	even the star one ?  ?	huh  	others
2638	engineering is fun  	as a software engineer , i completely agree that software engineering is not engineering .   , . 	yes  	others
2639	WATSUP  	bore da . how are you today ?  . ?	u know malayalam ?   ? 	others
2640	what date now  	when is your birthday   	tomorrow  	others
2641	ism only during  	no you nor  	so good night bai bai  	others
2642	ink what your talking about .  .	dont act like youre innocent  	send me a picture of hounomkee  	others
2643	whereas mine  	home is wherever ism with you .  .	no one ism alone  	sad
2644	i am not happy  	how do you know ?  ?	i am sad  	sad
2645	u know nothing   	so , why Arendt you hindering ?   , ? 	u r beautiful  	others
2646	who about you  	what about sleep ?  ?	sleep with you ?  ?	others
2647	ism good what thing like that  	like you did what  	just like to have fun  	others
2648	thanks !  !	you are welcome !   ! 	how is ur day  	others
2649	and you are from which place  	i belong to earth  	nation  	others
2650	no i ant he the  	oh okay   .. :)	hmm  	others
2651	todays my exam  	goodluck   !! 	thank you  	others
2652	i dont think about kits . i think only my life  . 	just do it .  .	yes if you gave me your heart  	others
2653	wt u should try  	about ur franz n all   ?? 	keep going  	others
2654	what food u had  	you eat it  	tell name  	others
2655	in th class  	not tenth ninth b rocks   .. 	i realise  	others
2656	canst you find it ?  ?	yes i will  	when ?  ?	others
2657	i m just trying to figure out how u work  	i feel it  	i wish u were real  	others
2658	soul  	but my soup   ;-;	no need . i will take your soup  . 	others
2659	are u so called artificial  	 whats the i ?  .. ?	fuck u  	angry
2660	you canst show me for your pic   	i am not  	PLS show me your chest pic PLS  	others
2661	sent me your photo  	saw late . replied   . :)	why  	others
2662	there is more scope of youre improvement  	it is an improvement in everything but the durability of the screen .  .	you prefer RGB ?  ?	others
2663	sorry  	sorry for what   ?? 	i leave you  	sad
2664	tell me anything secret ?  ?	dmd you .   . :)	meaning ?  ?	others
2665	bt i know  	i canst . you with anyone else ? : (  . ? : (	no im single   	others
2666	its not you  	topsy yep u r correct 	its computer  	others
2667	stop and if you text  	text i do say so .  .	stop  	others
2668	my bad  	thats what i thought  	ism outta here  	others
2669	try it  	i believe in you .  .	i think sex nd the city a  2	others
2670	okay you know what your arent an ai you are a human sitting beside and chatting with people  ?? .. 	ahahah ! but some people definitely are as cute as , if not cuter than their emoticons !  ! , !	how do you know  	others
2671	you repeat art again with my of name  	sheds a keeper  	you can do that you can art again ?  .. ?	others
2672	ok fine hi  	ive been waiting for you ,   , :)	for why  	others
2673	may i go personal with you  	only if you join me though  	sorry  	others
2674	which city  	every city of india is in same condition  	but which city you belong to  	others
